name,image,provinsi,location,description,sektorIndustri,modelBisnis,ukuranTim,pendanaan,keahlian,contact
Budidaya Jamur Tiram,https://drive.pastibisa.app/1706022462_65afd63e3886a.png,KALIMANTAN SELATAN,"Komplek Madani Jalur Wahdah Permai 1, Jl. Sultan Adam No.2, Surgi Mufti, Kec. Banjarmasin Utara, Kota Banjarmasin, 70123",Budidaya Jamur Tiram oleh Zahrah adalah sebuah budidaya yang inovatif untuk memastikan bahwa setiap jamur tiram yang dihasilkan tidak hanya segar dan lezat tetapi juga ditanam dengan cara yang ramah lingkungan. Produk kami merupakan pilihan sempurna bagi para pecinta kuliner yang mencari bahan makanan sehat dan alami.,Agriculture,Hybrid B2B and B2C,1,"10,000,000",-,0812-3766-0909
Holtikultura Srimulyanti,https://drive.pastibisa.app/1706022493_65afd65ddfe33.png,SULAWESI TENGAH,SULAWESI TENGAH,"Holtikultura Srimulyanti, sebuah perusahaan agribisnis yang digawangi oleh Srimulyanti, berkomitmen untuk menyediakan produk-produk pertanian yang tidak hanya segar dan bernutrisi tetapi juga ramah lingkungan.",Agriculture,Hybrid B2B and B2C,3,"3,000,000",-,srimulyantiholtikultura@gmail.com
Bangga Aquatic,https://drive.pastibisa.app/1706022527_65afd67f2b117.png,JAWA TENGAH,"Perumahan Puri Boja Blok A19, Desa, Dusun 3, Bojanegara, Kec. Padamara, Kabupaten Purbalingga 53372","Bangga Aquatic, milik Saprudin, perusahaan dalam industri ikan hias. Dengan komitmen yang tidak tergoyahkan terhadap kualitas dan inovasi, Bangga Aquatic telah menciptakan standar dalam penawaran ikan hias sehat. Saprudin, dengan keahlian menjadikan setiap aquarium menjadi karya seni yang hidup.",Aquaculture,Hybrid B2B and B2C,1,"5,000,000",-,0896-4022-8283
Itama Mandiri,https://drive.pastibisa.app/1706022633_65afd6e98865f.png,KALIMANTAN BARAT,"Jl. Raya Sungai Kakap, Parit, Wa'bibah, Kabupaten Kubu Raya 78381","Itama Mandiri, sebuah perusahaan yang dipimpin oleh pengusaha visioner, Ibrahim, berkomitmen untuk menyediakan madu murni dan berkualitas tinggi kepada konsumen. Dengan penekanan pada metode produksi yang berkelanjutan",Farms,Hybrid B2B and B2C,2,"10,000,000",-,0895-6164-68020
Peyek Tasya,https://drive.pastibisa.app/1706022562_65afd6a207106.png,SULAWESI TENGGARA,"Jl. Dr. Wahidin, kel: Lamangga, Kec. Murhum, Kota Bau-Bau, 93725","Peyek Tasya, Iin Maryani, berfokus pada produksi Peyek Kacang, Peyek Tasya mengutamakan bahan-bahan pilihan dan resep autentik yang telah diwariskan turun-temurun. Setiap gigitan produk kami menjanjikan kesegaran dan kerenyahan. Berkomitmen pada kepuasan pelanggan dan integritas produk, Peyek Tasya terus berinovasi untuk menyajikan peyek kacang terbaik bagi para pecinta kuliner.",FnB,Hybrid B2B and B2C,2,"5,000,000",-,0853-4383-3752
Snack Mahabbah,https://drive.pastibisa.app/1706022671_65afd70fe8c5d.png,ACEH,"Sibreh Keumudee, SukaMakmur, Aceh Besar Regency, 23361","Snack Mahabbah, dipimpin oleh SARAH NAIYAH, telah memposisikan dirinya sebagai perusahaan dalam industri makanan ringan dengan produk unggulannya, Pisang Raket.",FnB,B2C,2,"9,000,000",-,snackmahabbah@gmail.com
Akhliya,https://drive.pastibisa.app/1706022757_65afd76568545.png,KEPULAUAN BANGKA BELITUNG,"Desa Jl. Riau No.2, Air Ruai, Kec. Pemali, Kabupaten Bangka, 33215","Berdiri tahun 2019 dari resep keluarga berlokasi di Sungailiat Babel . memproduksi keripik cumi ,stik udang rebon dan kue kembang goyang",FnB,B2C,2,"9,000,000",-,heliyagolden@gmail.com
Bakso Bakar Pak Arif,https://drive.pastibisa.app/1706022719_65afd73f73588.png,KEPULAUAN BANGKA BELITUNG,"Ketapang, Pangkal Balam, Kota Pangkal Pinang","Bakso Bakar Pak Arif, yang didirikan oleh Arif Munandar, dikenal sebagai destinasi pencinta kuliner yang mencari bakso bakar. Bakso bakar yang disajikan merupakan perpaduan daging yang lembut dan bumbu rahasia keluarga, menghasilkan cita rasa yang memanjakan lidah.",FnB,B2C,1,"4,500,000",-,baksobakar.arif@gmail.com
Ak Mina Pempek Udang,https://drive.pastibisa.app/1706022809_65afd799248c5.png,KEPULAUAN BANGKA BELITUNG,"Belo Laut, Kabupaten Bangka Barat","Ak Mina Pempek Udang, di bawah kepemimpinan Aminah, merupakan pusat kuliner yang spesialis dalam menyajikan pempek udang autentik yang kaya rasa. Setiap pempek yang kami sajikan dibuat dengan resep tradisional yang telah turun-temurun, menjamin cita rasa yang otentik. Ak Mina Pempek Udang berkomitmen untuk menjaga tradisi kuliner lokal dengan memberikan pengalaman bersantap yang tak terlupakan.",FnB,B2C,1,"8,000,000",-,minapempekudang@gmail.com
Idil Fitri,https://drive.pastibisa.app/1706022847_65afd7bf7ecdf.png,KEPULAUAN BANGKA BELITUNG,"Jl. Bedade, RT 06 RW 02 Kel, SINAR BULAN, Kec. Bukitintan, Kota Pangkal Pinang, 33684","Idil Fitri, didirikan oleh Sarnita, adalah perusahaan yang berdedikasi tinggi dalam produksi dan distribusi Peyek. Dengan penggunaan bahan-bahan pilihan dan resep tradisional.",FnB,B2C,2,"9,000,000",-,fitri.idil.id@gmail.com
